EndNodes_1,EndNodes_2,Weight
Wellington_ 3,Sullivan Square_ 4,1.025159958
Wellington_ 3,Malden Center,1.035397763
Sullivan Square_ 4,Community College_ 5,1.01587693
Community College_ 5,North Station,1.015690401
Haymarket_ 7,State St_ 8,1.005870158
Haymarket_ 7,Government Center_ 50,1.004357408
Haymarket_ 7,North Station,1.00373018
State St_ 8,Downtown Crossing_ 9,1.005233249
State St_ 8,Government Center_ 50,1.002515135
State St_ 8,Aquarium_ 119,1.006314434
Downtown Crossing_ 9,Chinatown_ 10,1.004872899
Downtown Crossing_ 9,Park St_ 27,1.002780855
Downtown Crossing_ 9,South Station,1.007134758
Chinatown_ 10,Tufts Medical Center_ 11,1.004299418
Tufts Medical Center_ 11,Back Bay,1.012837406
Mass Ave_ 13,Back Bay,1.012531396
Mass Ave_ 13,Ruggles,1.007582234
Roxbury Crossing_ 15,Jackson Square_ 16,1.012218374
Roxbury Crossing_ 15,Ruggles,1.010345207
Jackson Square_ 16,Stony Brook_ 17,1.009766775
Stony Brook_ 17,Green St_ 18,1.010934825
Green St_ 18,Forest Hills,1.016031286
Alewife_ 20,Davis Square_ 21,1.021231095
Davis Square_ 21,Porter Square,1.012539334
Harvard Square_ 23,Central Square_ 24,1.019505198
Harvard Square_ 23,Porter Square,1.019954924
Central Square_ 24,Kendal MIT_ 25,1.018881567
Kendal MIT_ 25,Charles MGH_ 26,1.015311768
Charles MGH_ 26,Park St_ 27,1.011175286
Park St_ 27,Government Center_ 50,1.005682946
Park St_ 27,Boylston_ 51,1.005248758
Park St_ 27,South Station,1.009874908
Broadway_ 29,Andrew_ 30,1.017570127
Broadway_ 29,South Station,1.013082493
Andrew_ 30,JFK UMass,1.012364589
Savin Hill_ 32,Fields Corner_ 33,1.018221726
Savin Hill_ 32,JFK UMass,1.015088853
Fields Corner_ 33,Shawmut_ 34,1.010290691
Shawmut_ 34,Ashmont_ 35,1.01226215
Ashmont_ 35,Cedar Grove_ 36,1.007737522
Cedar Grove_ 36,Butler_ 37,1.010858375
Butler_ 37,Milton_ 38,1.004631983
Milton_ 38,Central Ave_ 39,1.006432172
Central Ave_ 39,Valley Rd_ 40,1.008700526
Valley Rd_ 40,Cappen_ 41,1.006156385
Cappen_ 41,Mattapan_ 42,1.005481712
North Quincy_ 43,Wollaston_ 44,1.016557786
North Quincy_ 43,JFK UMass,1.069021979
Wollaston_ 44,Quincy Center,1.025551169
Quincy Adams_ 46,Quincy Center,1.026582209
Quincy Adams_ 46,Braintree,1.036361207
Lechmere_ 48,Science Park_ 49,1.011293744
Lechmere_ 48,Union Square_ 250,1.020383545
Lechmere_ 48,East Somerville_ 251,1.017165731
Science Park_ 49,North Station,1.008395852
Government Center_ 50,Bowdoin_ 120,1.003572728
Boylston_ 51,Arlington_ 52,1.006595592
Arlington_ 52,Copley_ 53,1.007175172
Copley_ 53,Hynes Convention Center_ 54,1.011502051
Copley_ 53,Prudential_ 56,1.007650403
Hynes Convention Center_ 54,Kenmore_ 55,1.008123788
Kenmore_ 55,Fenway_ 67,1.010231432
Kenmore_ 55,St Marys St_ 80,1.012552233
Kenmore_ 55,Blandford St_ 93,1.004794086
Prudential_ 56,Symphony_ 57,1.005822202
Symphony_ 57,Northeastern University_ 58,1.005232964
Northeastern University_ 58,Museum of Fine Arts_ 59,1.007291898
Museum of Fine Arts_ 59,Longwood Medical_ 60,1.005481455
Longwood Medical_ 60,Brigham Circle_ 61,1.00419799
Brigham Circle_ 61,Fenwood Rd_ 62,1.002891323
Fenwood Rd_ 62,Mission Park_ 63,1.004030786
Mission Park_ 63,Riverway_ 64,1.003231513
Riverway_ 64,Back of the Hill_ 65,1.003109695
Back of the Hill_ 65,Heath St_ 66,1.001504639
Fenway_ 67,Longwood_ 68,1.007850597
Longwood_ 68,Brookline Village_ 69,1.014225399
Brookline Village_ 69,Brookline Hills_ 70,1.010663771
Brookline Hills_ 70,Beaconsfield_ 71,1.01563702
Beaconsfield_ 71,Reservoir_ 72,1.008665059
Reservoir_ 72,Chestnut Hill_ 73,1.02026943
Chestnut Hill_ 73,Newton Centre_ 74,1.029078261
Newton Centre_ 74,Newton Highlands_ 75,1.016811619
Newton Highlands_ 75,Eliot_ 76,1.012514576
Eliot_ 76,Waban_ 77,1.017255248
Waban_ 77,Woodland_ 78,1.016467436
Woodland_ 78,Riverside_ 79,1.011681695
St Marys St_ 80,Hawes St_ 81,1.004524324
Hawes St_ 81,Kent St_ 82,1.003281992
Kent St_ 82,St Paul_ 83,1.003075031
St Paul_ 83,Coolidge Corner_ 84,1.004551032
Coolidge Corner_ 84,Summit Ave_ 85,1.005079885
Summit Ave_ 85,Brandon Hall_ 86,1.003392975
Brandon Hall_ 86,Fairbanks_ 87,1.002632117
Fairbanks_ 87,Washington Square_ 88,1.004098599
Washington Square_ 88,Tappan St_ 89,1.003560882
Tappan St_ 89,Dean Rd_ 90,1.004062126
Dean Rd_ 90,Englewood Ave_ 91,1.003373844
Englewood Ave_ 91,Cleveland Circle_ 92,1.004065893
Blandford St_ 93,BU East_ 94,1.00412418
BU East_ 94,BU Central_ 95,1.003081349
BU Central_ 95,BU West_ 96,1.006570147
BU West_ 96,St Paul St_ 97,1.002851701
St Paul St_ 97,Pleasant St_ 98,1.003113509
Pleasant St_ 98,Babcock St_ 99,1.002774413
Babcock St_ 99,Packards Corner_ 100,1.003652619
Packards Corner_ 100,Harvard Ave_ 101,1.005786414
