Name,index,lat,lon,rshp
Wellington_ 3,3,42.401651,-71.077111,2937520
Sullivan Square_ 4,4,42.383717,-71.076705,2629276.403
Community College_ 5,5,42.373673,-71.069641,2000276.64
Haymarket_ 7,7,42.362713,-71.058262,4639466.768
State St_ 8,8,42.358561,-71.057554,10572987.71
Downtown Crossing_ 9,9,42.355321,-71.060057,19131976.1
Chinatown_ 10,10,42.352396,-71.062593,1799080.2
Tufts Medical Center_ 11,11,42.349444,-71.063709,1948620.915
Mass Ave_ 13,13,42.340892,-71.084124,2115641.093
Roxbury Crossing_ 15,15,42.331287,-71.095452,1396739.498
Jackson Square_ 16,16,42.323132,-71.099592,3179488.14
Stony Brook_ 17,17,42.317093,-71.104279,1083413.61
Green St_ 18,18,42.309796,-71.107988,1004364.698
Alewife_ 20,20,42.39525,-71.142349,3586994.415
Davis Square_ 21,21,42.39706,-71.122001,3835985.445
Harvard Square_ 23,23,42.374187,-71.117551,5604489.63
Central Square_ 24,24,42.364958,-71.103473,5079688.335
Kendal MIT_ 25,25,42.362487,-71.085565,5314539.263
Charles MGH_ 26,26,42.361201,-71.070895,3182097.015
Park St_ 27,27,42.356319,-71.062375,19286004.08
Broadway_ 29,29,42.342716,-71.056869,1885903.56
Andrew_ 30,30,42.330198,-71.057464,1914340.298
Savin Hill_ 32,32,42.311288,-71.053333,726676.0425
Fields Corner_ 33,33,42.29978,-71.061481,1696342.703
Shawmut_ 34,34,42.293142,-71.065704,875329.74
Ashmont_ 35,35,42.284516,-71.063788,2633033.183
Cedar Grove_ 36,36,42.279621,-71.060351,35241.55331
Butler_ 37,37,42.272222,-71.063426,46407.19397
Milton_ 38,38,42.270407,-71.067154,112703.1853
Central Ave_ 39,39,42.27006,-71.073333,250877.9884
Valley Rd_ 40,40,42.26836,-71.081394,21982.35504
Cappen_ 41,41,42.267562,-71.087226,27216.24909
Mattapan_ 42,42,42.267633,-71.092506,725766.6425
North Quincy_ 43,43,42.2758,-71.030202,1919297.16
Wollaston_ 44,44,42.266576,-71.020248,1399410
Quincy Adams_ 46,46,42.233085,-71.007234,1279392.3
Lechmere_ 48,48,42.371058,-71.077036,1892321.393
Science Park_ 49,49,42.366836,-71.067757,1912148.843
Government Center_ 50,50,42.359723,-71.059402,9410107.77
Boylston_ 51,51,42.352924,-71.064504,2532487.14
Arlington_ 52,52,42.351904,-71.070715,2702742.323
Copley_ 53,53,42.350324,-71.077298,4618439.235
Hynes Convention Center_ 54,54,42.347975,-71.087928,2772660.173
Kenmore_ 55,55,42.348889,-71.095666,3183036.21
Prudential_ 56,56,42.345677,-71.081161,1143522.09
Symphony_ 57,57,42.342687,-71.085056,647679.3075
Northeastern University_ 58,58,42.340349,-71.088989,414289.35
Museum of Fine Arts_ 59,59,42.337905,-71.095196,179855.8425
Longwood Medical_ 60,60,42.336015,-71.099823,283532.535
Brigham Circle_ 61,61,42.334672,-71.103441,275079.78
Fenwood Rd_ 62,62,42.333652,-71.105864,103833.225
Mission Park_ 63,63,42.333161,-71.109694,141766.2675
Riverway_ 64,64,42.331509,-71.111866,136339.8075
Back of the Hill_ 65,65,42.329395,-71.110963,40750.6275
Heath St_ 66,66,42.328361,-71.110577,95223.9375
Fenway_ 67,67,42.345399,-71.104332,223163.1675
Longwood_ 68,68,42.341623,-71.109921,192639.33
Brookline Village_ 69,69,42.332792,-71.116666,255461.04
Brookline Hills_ 70,70,42.331265,-71.12674,113642.595
Beaconsfield_ 71,71,42.335862,-71.140478,110616.3
